,simple,random,ppo,ddpg,sac,td3,tqc
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,-10476.42178525622,-36840.76992999381,-38656.66289392009,-9460.34795747983,-10409.098809024084,-8944.815916254514,-11525.91623294034
std,10964.813768442456,10693.623190475368,9502.507272398563,11155.183596138797,11361.43755537021,11414.155153509037,10535.17908281951
min,-35650.790576897765,-78998.96157161865,-83090.73385488673,-35782.066193098886,-35798.01445330153,-35770.967680737165,-35972.62030936628
25%,-6568.811135775821,-38536.45536194098,-40761.8695532189,-5461.9579819998635,-16858.833568835904,-5103.537239813433,-8271.408884452412
50%,-5752.248970574154,-33564.668096522095,-36744.14502943198,-4208.006772305122,-4513.342240010956,-3429.8186425902386,-6475.768526721604
75%,-4677.386628786684,-29913.01069485045,-32758.459372132827,-3439.2990270824507,-3324.4772669156428,-3031.6458586516237,-5669.853647638281
max,-3100.90734435416,-26721.015432752116,-28693.26566904738,-2445.3548611199485,-2289.3943366255844,-1290.3515606635974,-4381.581696721658
